dt,n,C/C0
3,0.0,1.0
3,13.4,0.9378663540445488
3,26.8,0.8757327080890973
3,40.2,0.8335287221570926
3,53.6,0.7854630715123095
3,67.0,0.753810082063306
3,80.4,0.7116060961313013
3,93.80000000000001,0.6928487690504103
3,107.2,0.675263774912075
3,120.60000000000001,0.645955451348183
3,134.0,0.630715123094959
3,0.0,1.0
3,13.4,0.9085133418043201
3,26.8,0.855146124523507
3,40.2,0.8144853875476493
3,53.6,0.7789072426937738
3,67.0,0.7433290978398983
3,80.4,0.7153748411689961
3,93.80000000000001,0.6937738246505718
3,107.2,0.6632782719186785
3,120.60000000000001,0.6493011435832274
3,134.0,0.6200762388818297
3,0.0,1.0
3,13.4,0.9171332586786114
3,26.8,0.8577827547592385
3,40.2,0.8141097424412094
3,53.6,0.7771556550951847
3,67.0,0.7502799552071668
3,80.4,0.7133258678611423
3,93.80000000000001,0.6864501679731243
3,107.2,0.664053751399776
3,120.60000000000001,0.6405375139977603
3,134.0,0.6192609182530795
6,0.0,1.0
6,50.0,0.9277777777777777
6,100.0,0.8911111111111112
6,150.0,0.8544444444444445
6,200.0,0.8255555555555555
6,250.0,0.7888888888888889
6,300.0,0.7611111111111112
6,350.0,0.7377777777777778
6,400.0,0.7144444444444444
6,450.0,0.6966666666666667
6,500.0,0.6811111111111111
6,550.0,0.6666666666666666
6,0.0,1.0
6,50.0,0.9198998748435544
6,100.0,0.8723404255319148
6,150.0,0.8360450563204005
6,200.0,0.8035043804755945
6,250.0,0.7697121401752189
6,300.0,0.7446808510638298
6,350.0,0.7259073842302878
6,400.0,0.7108886107634542
6,450.0,0.6933667083854819
6,500.0,0.6846057571964956
6,550.0,0.6708385481852316
6,0.0,1.0
6,50.0,0.9475609756097562
6,100.0,0.9134146341463415
6,150.0,0.8670731707317073
6,200.0,0.826829268292683
6,250.0,0.7939024390243903
6,300.0,0.7573170731707317
6,350.0,0.7317073170731707
6,400.0,0.7182926829268292
6,450.0,0.7024390243902439
6,500.0,0.6890243902439024
6,550.0,0.6731707317073171
12,0.0,1.0
12,39.0,0.9830316742081447
12,78.0,0.9660633484162896
12,156.0,0.9434389140271493
12,234.00000000000003,0.920814479638009
12,312.0,0.9004524886877828
12,390.00000000000006,0.8846153846153847
12,468.00000000000006,0.8687782805429864
12,546.0,0.8484162895927602
12,624.0,0.8359728506787331
12,702.0000000000001,0.8223981900452488
12,780.0000000000001,0.8031674208144796
12,858.0000000000001,0.7895927601809954
12,936.0000000000001,0.7771493212669683
12,0.0,1.0
12,39.0,0.9842041312272176
12,78.0,0.9671931956257596
12,156.0,0.9453219927095992
12,234.00000000000003,0.9258809234507899
12,312.0,0.905224787363305
12,390.00000000000006,0.8894289185905225
12,468.00000000000006,0.87363304981774
12,546.0,0.8614823815309842
12,624.0,0.8481166464155528
12,702.0000000000001,0.833535844471446
12,780.0000000000001,0.8189550425273391
12,858.0000000000001,0.8031591737545566
12,936.0000000000001,0.7910085054678008
12,0.0,1.0
12,39.0,0.9862068965517241
12,78.0,0.9666666666666667
12,156.0,0.9459770114942528
12,234.00000000000003,0.9298850574712645
12,312.0,0.9091954022988507
12,390.00000000000006,0.8896551724137931
12,468.00000000000006,0.8758620689655172
12,546.0,0.860919540229885
12,624.0,0.8413793103448276
12,702.0000000000001,0.8298850574712644
12,780.0000000000001,0.8160919540229885
12,858.0000000000001,0.8034482758620689
12,936.0000000000001,0.7919540229885057
38,0.0,1.0
38,92.84394286755017,0.9738636363636364
38,185.68788573510034,0.9579545454545454
38,278.5318286026505,0.9363636363636363
38,371.3757714702007,0.9261363636363635
38,464.2197143377508,0.9090909090909092
38,557.063657205301,0.8988636363636364
38,649.9076000728511,0.8875000000000001
38,742.7515429404014,0.8772727272727273
38,835.5954858079515,0.8704545454545455
38,928.4394286755016,0.8602272727272727
38,1021.2833715430518,0.8534090909090909
38,1114.127314410602,0.8443181818181819
38,0.0,1.0
38,92.84394286755017,0.9791395045632334
38,185.68788573510034,0.9582790091264667
38,278.5318286026505,0.9491525423728813
38,371.3757714702007,0.9413298565840938
38,464.2197143377508,0.9282920469361147
38,557.063657205301,0.9139504563233376
38,649.9076000728511,0.9074315514993481
38,742.7515429404014,0.9009126466753584
38,835.5954858079515,0.894393741851369
38,928.4394286755016,0.8852672750977836
38,1021.2833715430518,0.8774445893089962
38,1114.127314410602,0.8657105606258149
38,0.0,1.0
38,92.84394286755017,0.9787735849056604
38,185.68788573510034,0.9646226415094339
38,278.5318286026505,0.9528301886792454
38,371.3757714702007,0.9445754716981133
38,464.2197143377508,0.9327830188679246
38,557.063657205301,0.9221698113207548
38,649.9076000728511,0.9139150943396227
38,742.7515429404014,0.902122641509434
38,835.5954858079515,0.8938679245283019
38,928.4394286755016,0.8856132075471699
38,1021.2833715430518,0.8761792452830189
38,1114.127314410602,0.8691037735849056
